[2026-04-20 18:26:14,586] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.178.34:5000
[2026-04-20 18:26:14,586] INFO in _internal: [33mPress CTRL+C to quit[0m
[2026-04-20 18:26:14,593] INFO in _internal:  * Restarting with stat
[2026-04-20 18:26:14,945] WARNING in __init__: <class 'app.config.Config'>
[2026-04-20 18:26:15,541] WARNING in _internal:  * Debugger is active!
[2026-04-20 18:26:15,551] INFO in _internal:  * Debugger PIN: 421-241-984
[2026-04-20 18:26:17,649] INFO in routes: Tab event: tab_visible for user demo_student/discord
[2026-04-20 18:26:17,651] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:17] "POST /log/tab_event HTTP/1.1" 200 -
[2026-04-20 18:26:18,662] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:18] "GET /?userid=demo_student HTTP/1.1" 200 -
[2026-04-20 18:26:19,010] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:19] "GET /static/lti/app-lazy.js HTTP/1.1" 200 -
[2026-04-20 18:26:19,065] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:19] "GET /static/favicon.ico HTTP/1.1" 200 -
[2026-04-20 18:26:19,152] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:19] "GET /frontend/core/ajax.js HTTP/1.1" 200 -
[2026-04-20 18:26:19,152] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:19] "GET /frontend/core/localstorage.js HTTP/1.1" 200 -
[2026-04-20 18:26:19,279] INFO in routes: Starting new conversation (en) for user: demo_student - discord
[2026-04-20 18:26:19,290] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:19] "GET /user_role/ HTTP/1.1" 200 -
[2026-04-20 18:26:19,299] INFO in core: Created new user (en): demo_student - discord
[2026-04-20 18:26:19,310] INFO in llm: System Prompt: You are an interviewer conducting an interview that will be evaluated scientifically. Your tone should be friendly but neutral. Refer back to the user's answers, but do not comment positively or negatively on them. You are guiding a student through an interview to assess their study skills. Start the conversation with a friendly greeting. Ask the student which subject the degree they are studying is about.
[2026-04-20 18:26:19,310] INFO in llm: User Prompt: None
[2026-04-20 18:26:19,322] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:19] "GET /user_language/?userid=demo_student&client=standalone HTTP/1.1" 200 -
[2026-04-20 18:26:19,327] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:26:19,344] INFO in llm: Ollama raw response: {'error': "model 'llama3.1:latest' not found"}
[2026-04-20 18:26:19,344] INFO in llm: Send request to Ollama via HTTP
